2025-09-09 17:41:09 status config-files libisc-export1105:amd64 1:9.11.19+dfsg-2.1ubuntu3
2025-09-09 17:41:09 status not-installed libisc-export1105:amd64 <none>
2025-09-09 17:41:09 status installed liblirc-client0t64:amd64 0.10.2-0.8build1
2025-09-09 17:41:09 remove liblirc-client0t64:amd64 0.10.2-0.8build1 <none>
2025-09-09 17:41:09 status half-configured liblirc-client0t64:amd64 0.10.2-0.8build1
2025-09-09 17:41:09 status half-installed liblirc-client0t64:amd64 0.10.2-0.8build1
2025-09-09 17:41:09 status config-files liblirc-client0t64:amd64 0.10.2-0.8build1
2025-09-09 17:41:09 status not-installed liblirc-client0t64:amd64 <none>
2025-09-09 17:41:09 status installed libnautilus-extension1a:amd64 1:42.6-0ubuntu2
2025-09-09 17:41:09 remove libnautilus-extension1a:amd64 1:42.6-0ubuntu2 <none>
2025-09-09 17:41:09 status half-configured libnautilus-extension1a:amd64 1:42.6-0ubuntu2
2025-09-09 17:41:09 status half-installed libnautilus-extension1a:amd64 1:42.6-0ubuntu2
2025-09-09 17:41:09 status config-files libnautilus-extension1a:amd64 1:42.6-0ubuntu2
2025-09-09 17:41:09 status not-installed libnautilus-extension1a:amd64 <none>
2025-09-09 17:41:09 status installed libpcre3:amd64 2:8.39-15build1
2025-09-09 17:41:09 remove libpcre3:amd64 2:8.39-15build1 <none>
2025-09-09 17:41:09 status half-configured libpcre3:amd64 2:8.39-15build1
2025-09-09 17:41:09 status half-installed libpcre3:amd64 2:8.39-15build1
2025-09-09 17:41:09 status config-files libpcre3:amd64 2:8.39-15build1
2025-09-09 17:41:09 status not-installed libpcre3:amd64 <none>
2025-09-09 17:41:09 status installed libportal-gtk3-1:amd64 0.7.1-5build5
2025-09-09 17:41:09 remove libportal-gtk3-1:amd64 0.7.1-5build5 <none>
2025-09-09 17:41:09 status half-configured libportal-gtk3-1:amd64 0.7.1-5build5
2025-09-09 17:41:09 status half-installed libportal-gtk3-1:amd64 0.7.1-5build5
2025-09-09 17:41:09 status config-files libportal-gtk3-1:amd64 0.7.1-5build5
2025-09-09 17:41:09 status not-installed libportal-gtk3-1:amd64 <none>
2025-09-09 17:41:09 status installed libprotobuf-lite32t64:amd64 3.21.12-8.2ubuntu0.2
2025-09-09 17:41:09 remove libprotobuf-lite32t64:amd64 3.21.12-8.2ubuntu0.2 <none>
2025-09-09 17:41:09 status half-configured libprotobuf-lite32t64:amd64 3.21.12-8.2ubuntu0.2
2025-09-09 17:41:09 status half-installed libprotobuf-lite32t64:amd64 3.21.12-8.2ubuntu0.2
2025-09-09 17:41:09 status config-files libprotobuf-lite32t64:amd64 3.21.12-8.2ubuntu0.2
2025-09-09 17:41:09 status not-installed libprotobuf-lite32t64:amd64 <none>
2025-09-09 17:41:09 status installed libsnapd-glib1:amd64 1.60-0ubuntu1
2025-09-09 17:41:09 remove libsnapd-glib1:amd64 1.60-0ubuntu1 <none>
2025-09-09 17:41:09 status half-configured libsnapd-glib1:amd64 1.60-0ubuntu1
2025-09-09 17:41:09 status half-installed libsnapd-glib1:amd64 1.60-0ubuntu1
2025-09-09 17:41:09 status config-files libsnapd-glib1:amd64 1.60-0ubuntu1
2025-09-09 17:41:09 status not-installed libsnapd-glib1:amd64 <none>
2025-09-09 17:41:09 status installed libsuitesparseconfig5:amd64 1:5.10.1+dfsg-4build1
2025-09-09 17:41:09 remove libsuitesparseconfig5:amd64 1:5.10.1+dfsg-4build1 <none>
2025-09-09 17:41:09 status half-configured libsuitesparseconfig5:amd64 1:5.10.1+dfsg-4build1
2025-09-09 17:41:09 status half-installed libsuitesparseconfig5:amd64 1:5.10.1+dfsg-4build1
